IdCas,TRCID,CASRN,NAME,INCHIKEY
111842,786,111-84-2,nonane,BKIMMITUMNQMOS-UHFFFAOYSA-N
111875,792,111-87-5,octan-1-ol,KBPLFHHGFOOTCA-UHFFFAOYSA-N
111922,799,111-92-2,dibutylamine,JQVDAXLFBXTEQA-UHFFFAOYSA-N
1120214,812,1120-21-4,undecane,RSJKGSCJYJTIGS-UHFFFAOYSA-N
112061,825,112-06-1,heptyl ethanoate,ZCZSIDMEHXZRLG-UHFFFAOYSA-N
112141,839,112-14-1,octyl ethanoate,YLYBTZIQSIBWLI-UHFFFAOYSA-N
112232,849,112-23-2,heptyl methanoate,XEAMDSXSXYAICO-UHFFFAOYSA-N
112301,863,112-30-1,decan-1-ol,MWKFXSUHUHTGQN-UHFFFAOYSA-N
112312,865,112-31-2,decanal,KSMVZQYAVGTKIV-UHFFFAOYSA-N
112323,866,112-32-3,octyl methanoate,AVBRYQRTMPHARE-UHFFFAOYSA-N
112403,874,112-40-3,dodecane,SNRUBQQJIBEYMU-UHFFFAOYSA-N
112425,877,112-42-5,1-undecanol,KJIOQYGWTQBHNH-UHFFFAOYSA-N
112538,884,112-53-8,dodecan-1-ol,LQZZUXJYWNFBMV-UHFFFAOYSA-N
112549,885,112-54-9,dodecanal,HFJRKMMYBMWEAD-UHFFFAOYSA-N
112583,890,112-58-3,7-oxatridecane,BPIUIOXAFBGMNB-UHFFFAOYSA-N
112721,904,112-72-1,1-tetradecanol,HLZKNKRTKFSKGZ-UHFFFAOYSA-N
1127760,907,1127-76-0,1-ethylnaphthalene,ZMXIYERNXPIYFR-UHFFFAOYSA-N
119368,1001,119-36-8,methyl 2-hydroxybenzoate,OSWPMRLSEDHDFF-UHFFFAOYSA-N
119642,1010,119-64-2,"1,2,3,4-tetrahydronaphthalene",CXWXQJXEFPUFDZ-UHFFFAOYSA-N
120923,1041,120-92-3,cyclopentanone,BGTOWKSIORTVQH-UHFFFAOYSA-N
121697,1054,121-69-7,"N,N-dimethylaniline",JLTDJTHDQAWBAV-UHFFFAOYSA-N
123193,1098,123-19-3,4-heptanone,HCFAJYNVAYBARA-UHFFFAOYSA-N
123251,1101,123-25-1,diethyl butanedioate,DKMROQRQHGEIOW-UHFFFAOYSA-N
123386,1108,123-38-6,propanal,NBBJYMSMWIIQGU-UHFFFAOYSA-N
123397,1109,123-39-7,N-methylformamide,ATHHXGZTWNVVOU-UHFFFAOYSA-N
123546,1110,123-54-6,"2,4-pentanedione",YRKCREAYFQTBPV-UHFFFAOYSA-N
123637,1113,123-63-7,"2,4,6-trimethyl-1,3,5-trioxane",SQYNKIJPMDEDEG-UHFFFAOYSA-N
123728,1115,123-72-8,butanal,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N
123739,1116,123-73-9,(E)-2-butenal,MLUCVPSAIODCQM-NSCUHMNNSA-N
123864,1121,123-86-4,butyl ethanoate,DKPFZGUDAPQIHT-UHFFFAOYSA-N
123911,1122,123-91-1,"1,4-dioxane",RYHBNJHYFVUHQT-UHFFFAOYSA-N
123922,1123,123-92-2,3-methylbutyl ethanoate,MLFHJEHSLIIPHL-UHFFFAOYSA-N
123966,1125,123-96-6,2-octanol,SJWFXCIHNDVPSH-UHFFFAOYSA-N
124118,1133,124-11-8,1-nonene,JRZJOMJEPLMPRA-UHFFFAOYSA-N
124130,1135,124-13-0,octanal,NUJGJRNETVAIRJ-UHFFFAOYSA-N
124185,1136,124-18-5,decane,DIOQZVSQGTUSAI-UHFFFAOYSA-N
124196,1137,124-19-6,nonanal,GYHFUZHODSMOHU-UHFFFAOYSA-N
126330,1150,126-33-0,sulfolane,HXJUTPCZVOIRIF-UHFFFAOYSA-N
126987,1159,126-98-7,isopropenylnitrile,GYCMBHHDWRMZGG-UHFFFAOYSA-N
127184,1165,127-18-4,tetrachloroethene,CYTYCFOTNPOANT-UHFFFAOYSA-N
127195,1166,127-19-5,"N,N-dimethylethanamide",FXHOOIRPVKKKFG-UHFFFAOYSA-N
131113,1189,131-11-3,"dimethyl 1,2-benzenedicarboxylate",NIQCNGHVCWTJSM-UHFFFAOYSA-N
135988,1264,135-98-8,(1-methylpropyl)benzene,ZJMWRROPUADPEA-UHFFFAOYSA-N
137326,1282,137-32-6,2-methyl-1-butanol,QPRQEDXDYOZYLA-UHFFFAOYSA-N
140114,1307,140-11-4,benzyl ethanoate,QUKGYYKBILRGFE-UHFFFAOYSA-N
140294,1309,140-29-4,benzeneacetonitrile,SUSQOBVLVYHIEX-UHFFFAOYSA-N
