doi,title,journal,year,source_json,dataset_number,method,phase,standard_state,solute_name,solvent_name,solute_inchi,solvent_inchi,solute_smiles,solvent_smiles,temperature,gamma_inf,ln_gamma_inf,idac_basis,solute_org_num,solvent_can,solute_can,pair,net_new
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,21.0,Chromatography,Liquid,Pure compound,methanol,diethylene glycol,"InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CO,OCCOCCO,363.2,1.02,0.01980262729617973,declared in the record,,OCCOCCO,CO,"('CO', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,22.0,Chromatography,Liquid,Pure compound,ethanol,diethylene glycol,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CCO,OCCOCCO,333.2,1.47,0.3852624007906449,declared in the record,,OCCOCCO,CCO,"('CCO', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,22.0,Chromatography,Liquid,Pure compound,ethanol,diethylene glycol,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CCO,OCCOCCO,348.2,1.46,0.37843643572024505,declared in the record,,OCCOCCO,CCO,"('CCO', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,22.0,Chromatography,Liquid,Pure compound,ethanol,diethylene glycol,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CCO,OCCOCCO,363.2,1.46,0.37843643572024505,declared in the record,,OCCOCCO,CCO,"('CCO', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,23.0,Chromatography,Liquid,Pure compound,propan-1-ol,diethylene glycol,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CCCO,OCCOCCO,333.2,1.8,0.5877866649021191,declared in the record,,OCCOCCO,CCCO,"('CCCO', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,23.0,Chromatography,Liquid,Pure compound,propan-1-ol,diethylene glycol,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CCCO,OCCOCCO,348.2,1.77,0.5709795465857378,declared in the record,,OCCOCCO,CCCO,"('CCCO', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,23.0,Chromatography,Liquid,Pure compound,propan-1-ol,diethylene glycol,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CCCO,OCCOCCO,363.2,1.74,0.5538851132264376,declared in the record,,OCCOCCO,CCCO,"('CCCO', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,24.0,Chromatography,Liquid,Pure compound,propan-2-ol,diethylene glycol,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CC(C)O,OCCOCCO,333.2,1.79,0.5822156198526637,declared in the record,,OCCOCCO,CC(C)O,"('CC(C)O', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,24.0,Chromatography,Liquid,Pure compound,propan-2-ol,diethylene glycol,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CC(C)O,OCCOCCO,348.2,1.77,0.5709795465857378,declared in the record,,OCCOCCO,CC(C)O,"('CC(C)O', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,24.0,Chromatography,Liquid,Pure compound,propan-2-ol,diethylene glycol,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CC(C)O,OCCOCCO,363.2,1.74,0.5538851132264376,declared in the record,,OCCOCCO,CC(C)O,"('CC(C)O', 'OCCOCCO')",True
