set,axis,stratum,unit,convention,n,n_solutes,n_solvents,n_pairs,mse,var_m,boundable_at_headline_cell,n_sources,top_source,top_source_share_of_stratum_squared_error,b_insuff_up,b_insuff_up_ml,b_closure_lb,margin,margin_ml,b_insuff_exceeds_var_m,adaptive_n_bins,b_insuff_up_adaptive,margin_adaptive,P_boot,bootstrap_reduces_to_one_way,pair_conditional_var,pair_conditional_rows,pair_conditional_groups,share_of_squared_error,share_of_rows,test_a_boundable,loso_testable,loso_n_deletions,loso_n_undefined,loso_n_leaving_unboundable,loso_margin_min,loso_margin_max,loso_worst_source,loso_worst_margin,test_b_sign_survives_loso,test_b_strict_remainder_boundable,admissible_this_cell,admissible_this_cell_strict,cells_admissible,cells_reported,admissible_in_every_cell,admissible_in_every_cell_strict,ci90_excludes_zero,direction,licenses,reason_not_admissible,margin_ci90_lo,margin_ci90_hi,margin_ci90
broad_477,solute_family,ether,pair,res,4,3,3,4,0.1927,7.1142,False,3,10.1016/j.fluid.2015.01.010,0.8772,,,,,,,3,,,,False,,,,0.0027,0.0216,False,True,3,3,3,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=4 < 40; the fixed cell is undefined at n=4,,,
broad_477,solute_family,halogenated_aliphatic,row,full,27,4,6,9,1.7064,0.267,False,3,10.1016/j.fluid.2015.11.037,0.9851,0.1709,0.1277,1.5355,1.3646,1.451,False,3,0.2854,1.1355,0.999,False,0.0003,22.0,4.0,0.0505,0.0566,False,True,3,1,3,1.3177,1.7981,10.1016/j.fluid.2016.10.009,1.3177,False,False,False,False,0,4,False,False,True,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=27 < 40; 1 of 3 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1016/j.fluid.2015.11.037), so the sign is not verifiable",0.151,2.064,
broad_477,solute_family,halogenated_aliphatic,row,res,27,4,6,9,1.631,0.267,False,3,10.1016/j.fluid.2015.11.037,0.9871,0.2863,0.2069,1.3447,1.0583,1.2172,True,3,0.2899,1.0512,0.997,False,0.0003,22.0,4.0,0.0485,0.0566,False,True,3,1,3,1.2338,1.7088,10.1016/j.fluid.2016.10.009,1.2338,False,False,False,False,0,4,False,False,True,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=27 < 40; 1 of 3 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1016/j.fluid.2015.11.037), so the sign is not verifiable",0.146,1.988,
broad_477,solute_family,halogenated_aliphatic,pair,full,9,4,6,9,1.1536,0.5055,False,3,10.1016/j.fluid.2015.11.037,0.9339,,,,,,,3,0.6963,-0.2391,,False,,,,0.0334,0.0486,False,True,3,3,3,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=9 < 40; the fixed cell is undefined at n=9,,,
broad_477,solute_family,halogenated_aliphatic,pair,res,9,4,6,9,1.0964,0.5055,False,3,10.1016/j.fluid.2015.11.037,0.9427,,,,,,,3,0.6963,-0.2962,,False,,,,0.0346,0.0486,False,True,3,3,3,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=9 < 40; the fixed cell is undefined at n=9,,,
broad_477,solute_family,halogenated_aromatic,row,full,8,3,4,8,0.671,3.1138,False,4,10.1016/j.fluid.2013.06.028,0.741,,,,,,,3,0.6279,-0.5849,,False,,,,0.0059,0.0168,False,True,4,4,4,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=8 < 40; the fixed cell is undefined at n=8,,,
broad_477,solute_family,halogenated_aromatic,row,res,8,3,4,8,0.6192,3.1138,False,4,10.1016/j.fluid.2013.06.028,0.7541,,,,,,,3,0.6279,-0.6367,,False,,,,0.0055,0.0168,False,True,4,4,4,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=8 < 40; the fixed cell is undefined at n=8,,,
broad_477,solute_family,halogenated_aromatic,pair,full,8,3,4,8,0.671,3.1138,False,4,10.1016/j.fluid.2013.06.028,0.741,,,,,,,3,0.6279,-0.5849,,False,,,,0.0173,0.0432,False,True,4,4,4,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=8 < 40; the fixed cell is undefined at n=8,,,
broad_477,solute_family,halogenated_aromatic,pair,res,8,3,4,8,0.6192,3.1138,False,4,10.1016/j.fluid.2013.06.028,0.7541,,,,,,,3,0.6279,-0.6367,,False,,,,0.0174,0.0432,False,True,4,4,4,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=8 < 40; the fixed cell is undefined at n=8,,,
broad_477,solute_family,ketone,row,full,63,10,3,11,0.8101,1.2477,True,3,10.1021/acs.jced.9b00726,0.998,0.5694,0.4974,0.2407,-0.3287,-0.1848,False,6,0.6564,-0.5027,0.573,False,0.0585,61.0,9.0,0.056,0.1321,True,True,3,1,1,0.0358,0.0369,10.1016/j.fluid.2016.10.009,0.0369,False,False,False,False,0,4,False,False,False,non-positive,"nothing: reported in the map, not stated as a finding","1 of 3 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1021/acs.jced.9b00726), so the sign is not verifiable",-0.722,0.886,
broad_477,solute_family,ketone,row,res,63,10,3,11,0.6275,1.2477,True,3,10.1021/acs.jced.9b00726,0.9978,0.5772,0.5044,0.0503,-0.527,-0.3813,False,6,0.6214,-0.6152,0.543,False,0.0585,61.0,9.0,0.0436,0.1321,True,True,3,1,1,-0.1426,-0.1416,10.1016/j.fluid.2016.10.009,-0.1416,False,False,False,False,0,4,False,False,False,non-positive,"nothing: reported in the map, not stated as a finding","1 of 3 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1021/acs.jced.9b00726), so the sign is not verifiable",-0.849,0.638,
broad_477,solute_family,ketone,pair,full,11,10,3,11,0.6798,4.4429,False,3,10.1021/acs.jced.9b00726,0.9863,,,,,,,3,2.4322,-4.1845,,False,,,,0.0241,0.0595,False,True,3,3,3,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=11 < 40; the fixed cell is undefined at n=11,,,
broad_477,solute_family,ketone,pair,res,11,10,3,11,0.5007,4.4429,False,3,10.1021/acs.jced.9b00726,0.9843,,,,,,,3,2.4086,-4.3164,,False,,,,0.0193,0.0595,False,True,3,3,3,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=11 < 40; the fixed cell is undefined at n=11,,,
