solute_key,solvent_key,solute,solvent,m,g2002,g2010,gdsp
CCNCC,CO,diethylamine,methanol,-1.1086626245216111,1.6195634128600163,0.46478556601261156,0.7267418083177474
CCc1ccccc1,c1ccncc1,ethylbenzene,pyridine,0.3646431135879092,0.39870183908023427,0.35436757388170237,0.3618400926284578
CO,C1CCNCC1,methanol,piperidine,-0.843970070294529,-0.895754744265898,-0.9753790212854807,-0.6795835919775872
CO,CC(C)(C)N,methanol,2-methyl-2-propanamine,-1.2378743560016174,-0.8785784060141233,-1.5213961892302397,-1.1510382087123368
CO,CCC(C)N,methanol,2-butanamine,-0.9675840262617056,-0.891027727370188,-1.538422165474262,-1.168064184956359
CO,CCCCCCN,methanol,1-hexanamine,-0.9675840262617056,-1.1053367340467632,-1.5298411246368313,-1.1252763118341547
CO,CCCCN,methanol,1-butanamine,-1.0498221244986778,-0.8667817392516981,-1.5860206938813957,-1.2156627133634927
CO,CCCNCCC,methanol,dipropylamine,-0.371063681390832,-1.2026046734206441,-0.6270638199671288,-0.3047424216741107
CO,CCNCC,methanol,diethylamine,-0.6733445532637656,-1.0174285731481416,-0.685052126978277,-0.4230958846731412
CO,Cc1cccc(C)n1,methanol,"2,6-dimethylpyridine",-0.4942963218147801,-1.0952630423303273,0.7145849985244399,1.1809411216385794
CO,Cc1ccccn1,methanol,2-methylpyridine,-0.2357223335210698,-0.9895062006617101,0.5748038842282948,1.0318076053318395
CO,Cc1cccnc1,methanol,3-methylpyridine,-0.0618754037180875,-0.9594837232563689,0.5719762596695913,1.0289799807731361
CO,Cc1ccncc1,methanol,4-methylpyridine,-0.3856624808119846,-0.961795688177592,0.5362802453978166,0.9932839665013613
CO,NC1CCCCC1,methanol,cyclohexylamine,-1.1086626245216111,-0.9452318457366687,-1.506808540276698,-1.1022437274740213
Cc1ccc(C)cc1,c1ccncc1,"1,4-dimethylbenzene",pyridine,0.4446858212614457,0.41035450275680896,0.39776556958648,0.40523808833323544
Cc1cccc(C)c1,c1ccncc1,"1,3-dimethylbenzene",pyridine,0.4317824164255378,0.4084928576394801,0.38380827509320603,0.39128079383996145
Cc1cccc(C)n1,CO,"2,6-dimethylpyridine",methanol,-0.0618754037180875,1.8634576464701007,0.9727475156075551,1.4391036387216947
Cc1ccccc1,OCCO,toluene,"1,2-ethanediol",4.532599493153256,3.270669365051952,2.988394737491531,3.5606516215113833
Cc1ccccc1C,c1ccncc1,"1,2-dimethylbenzene",pyridine,0.3435897043900768,0.3940793173626705,0.3361551922872428,0.3436277110339982
Cc1ccccn1,CO,2-methylpyridine,methanol,-0.2876820724517809,1.6321852961447252,0.7466871988951675,1.2036909199987122
Cc1cccnc1,CO,3-methylpyridine,methanol,-0.1984509387238383,1.578633466291779,0.7068479277089794,1.1638516488125241
Cc1cccnc1,c1ccccc1,3-methylpyridine,benzene,-0.0408219945202551,-0.8165140191906114,-0.016696739958035663,-0.009517749127058274
Cc1ccncc1,CO,4-methylpyridine,methanol,0.0,1.5722338768506599,0.6848040576783655,1.1418077787819103
Clc1ccccc1,OCCO,chlorobenzene,"1,2-ethanediol",3.688879454113936,3.059445108434077,2.6206644228837805,3.151539757067243
Fc1ccccc1,OCCO,fluorobenzene,"1,2-ethanediol",3.4657359027997265,2.642548335648386,2.328475679797857,2.689928996019547
Ic1ccccc1,OCCO,iodobenzene,"1,2-ethanediol",3.737669618283368,3.292887581354919,2.7903626268645882,
NC1CCCCC1,CO,cyclohexylamine,methanol,1.5706970841176695,1.4079116938204286,-0.3935122434866761,0.011052569316000516
NC1CCCCC1,c1ccccc1,cyclohexylamine,benzene,1.860974538249528,-0.5427050916777796,0.5298074512437888,0.5453563773744433
c1ccc2ccccc2c1,OCCO,naphthalene,"1,2-ethanediol",5.472270673671475,3.749569748594525,3.4528436182265185,4.0315833120264095
c1ccccc1,OCCO,benzene,"1,2-ethanediol",3.4657359027997265,2.854583703929337,2.430800944762632,3.009540638562523
c1ccncc1,CO,pyridine,methanol,0.1823215567939546,1.3995270261405288,0.6511886434645544,1.0958445938942671
