axis,stratum,unit,convention,n_bins,within_bin_variance,n,rows_per_bin,mse,b_insuff_up,margin,P_boot,margin_ci90_lo,margin_ci90_hi,cell_defined
solvent_class,glycol_ether,row,full,7,ML,182,26.0,2.4627,0.1697,2.1233,1.0,1.373,3.19,True
solvent_class,glycol_ether,row,full,7,Be,182,26.0,2.4627,0.1765,2.1097,1.0,1.346,3.275,True
solvent_class,glycol_ether,row,full,8,ML,182,22.75,2.4627,0.1111,2.2406,1.0,1.384,3.278,True
solvent_class,glycol_ether,row,full,8,Be,182,22.75,2.4627,0.1161,2.2305,1.0,1.389,3.292,True
solvent_class,glycol_ether,row,full,10,ML,182,18.2,2.4627,0.1133,2.2361,1.0,1.422,3.401,True
solvent_class,glycol_ether,row,full,10,Be,182,18.2,2.4627,0.1199,2.2229,1.0,1.448,3.297,True
solvent_class,glycol_ether,row,full,12,ML,182,15.17,2.4627,0.0608,2.3412,1.0,1.433,3.368,True
solvent_class,glycol_ether,row,full,12,Be,182,15.17,2.4627,0.065,2.3327,1.0,1.471,3.394,True
solvent_class,glycol_ether,row,full,16,ML,182,11.38,2.4627,0.0531,2.3565,1.0,1.51,3.45,True
solvent_class,glycol_ether,row,full,16,Be,182,11.38,2.4627,0.0582,2.3463,1.0,1.468,3.425,True
solvent_class,glycol_ether,row,full,20,ML,182,9.1,2.4627,0.0442,2.3744,1.0,1.49,3.374,True
solvent_class,glycol_ether,row,full,20,Be,182,9.1,2.4627,0.0496,2.3635,1.0,1.502,3.418,True
solvent_class,glycol_ether,row,full,24,ML,182,7.58,2.4627,0.0378,2.3871,1.0,1.502,3.465,True
solvent_class,glycol_ether,row,full,24,Be,182,7.58,2.4627,0.0435,2.3758,1.0,1.476,3.45,True
solvent_class,glycol_ether,row,full,32,ML,182,5.69,2.4627,0.0362,2.3904,1.0,1.555,3.442,True
solvent_class,glycol_ether,row,full,32,Be,182,5.69,2.4627,0.0439,2.3749,1.0,1.484,3.468,True
solvent_class,glycol_ether,row,full,40,ML,182,4.55,2.4627,0.0306,2.4016,1.0,1.522,3.46,True
solvent_class,glycol_ether,row,full,40,Be,182,4.55,2.4627,0.039,2.3848,1.0,1.542,3.482,True
solvent_class,glycol_ether,row,full,48,ML,182,3.79,2.4627,0.0278,2.4072,1.0,1.527,3.432,True
solvent_class,glycol_ether,row,full,48,Be,182,3.79,2.4627,0.0374,2.3879,1.0,1.541,3.455,True
solvent_class,glycol_ether,row,res,3,ML,182,60.67,2.2518,0.5848,1.0822,0.99,0.491,2.53,True
solvent_class,glycol_ether,row,res,3,Be,182,60.67,2.2518,0.5946,1.0627,0.991,0.457,2.522,True
solvent_class,glycol_ether,row,res,4,ML,182,45.5,2.2518,0.2674,1.7171,1.0,0.868,2.663,True
solvent_class,glycol_ether,row,res,4,Be,182,45.5,2.2518,0.2734,1.7051,1.0,0.851,2.629,True
solvent_class,glycol_ether,row,res,5,ML,182,36.4,2.2518,0.241,1.7698,1.0,1.064,2.755,True
solvent_class,glycol_ether,row,res,5,Be,182,36.4,2.2518,0.2478,1.7562,1.0,1.057,2.732,True
solvent_class,glycol_ether,row,res,6,ML,182,30.33,2.2518,0.2176,1.8166,1.0,1.143,2.807,True
solvent_class,glycol_ether,row,res,6,Be,182,30.33,2.2518,0.225,1.8018,1.0,1.16,2.771,True
solvent_class,glycol_ether,row,res,7,ML,182,26.0,2.2518,0.1634,1.9251,1.0,1.221,2.826,True
solvent_class,glycol_ether,row,res,7,Be,182,26.0,2.2518,0.1699,1.912,1.0,1.196,2.845,True
solvent_class,glycol_ether,row,res,8,ML,182,22.75,2.2518,0.103,2.0459,1.0,1.25,2.883,True
solvent_class,glycol_ether,row,res,8,Be,182,22.75,2.2518,0.1077,2.0364,1.0,1.247,2.858,True
solvent_class,glycol_ether,row,res,10,ML,182,18.2,2.2518,0.0986,2.0546,1.0,1.344,2.936,True
solvent_class,glycol_ether,row,res,10,Be,182,18.2,2.2518,0.1043,2.0431,1.0,1.33,2.913,True
solvent_class,glycol_ether,row,res,12,ML,182,15.17,2.2518,0.0587,2.1344,1.0,1.338,2.951,True
solvent_class,glycol_ether,row,res,12,Be,182,15.17,2.2518,0.0628,2.1262,1.0,1.319,2.93,True
solvent_class,glycol_ether,row,res,16,ML,182,11.38,2.2518,0.0477,2.1564,1.0,1.384,2.969,True
solvent_class,glycol_ether,row,res,16,Be,182,11.38,2.2518,0.0523,2.1473,1.0,1.339,2.955,True
solvent_class,glycol_ether,row,res,20,ML,182,9.1,2.2518,0.0372,2.1774,1.0,1.42,3.02,True
solvent_class,glycol_ether,row,res,20,Be,182,9.1,2.2518,0.0418,2.1682,1.0,1.388,2.988,True
solvent_class,glycol_ether,row,res,24,ML,182,7.58,2.2518,0.0348,2.1822,1.0,1.412,3.011,True
solvent_class,glycol_ether,row,res,24,Be,182,7.58,2.2518,0.04,2.1719,1.0,1.382,2.996,True
solvent_class,glycol_ether,row,res,32,ML,182,5.69,2.2518,0.0288,2.1942,1.0,1.449,3.008,True
solvent_class,glycol_ether,row,res,32,Be,182,5.69,2.2518,0.0349,2.1821,1.0,1.415,2.999,True
solvent_class,glycol_ether,row,res,40,ML,182,4.55,2.2518,0.0256,2.2007,1.0,1.45,3.053,True
solvent_class,glycol_ether,row,res,40,Be,182,4.55,2.2518,0.0328,2.1863,1.0,1.436,3.045,True
solvent_class,glycol_ether,row,res,48,ML,182,3.79,2.2518,0.0245,2.2029,1.0,1.455,3.03,True
solvent_class,glycol_ether,row,res,48,Be,182,3.79,2.2518,0.0331,2.1857,1.0,1.458,3.024,True
solvent_class,glycol_ether,pair,full,3,ML,43,14.33,3.2029,0.7054,1.7921,0.997,1.277,3.26,True
solvent_class,glycol_ether,pair,full,3,Be,43,14.33,3.2029,0.7583,1.6862,0.997,1.215,3.178,True
solvent_class,glycol_ether,pair,full,4,ML,43,10.75,3.2029,0.4466,2.3097,1.0,1.623,3.469,True
solvent_class,glycol_ether,pair,full,4,Be,43,10.75,3.2029,0.4915,2.2199,0.999,1.575,3.458,True
solvent_class,glycol_ether,pair,full,5,ML,43,8.6,3.2029,0.3658,2.4713,0.999,1.766,3.63,True
solvent_class,glycol_ether,pair,full,5,Be,43,8.6,3.2029,0.4123,2.3783,0.999,1.702,3.59,True
solvent_class,glycol_ether,pair,full,6,ML,43,7.17,3.2029,0.2448,2.7132,1.0,1.95,3.682,True
solvent_class,glycol_ether,pair,full,6,Be,43,7.17,3.2029,0.2837,2.6355,1.0,1.866,3.66,True
solvent_class,glycol_ether,pair,full,7,ML,43,6.14,3.2029,0.1265,2.9499,1.0,1.986,3.74,True
solvent_class,glycol_ether,pair,full,7,Be,43,6.14,3.2029,0.15,2.9029,1.0,1.88,3.698,True
solvent_class,glycol_ether,pair,full,8,ML,43,5.38,3.2029,0.1092,2.9844,1.0,2.009,3.827,True
solvent_class,glycol_ether,pair,full,8,Be,43,5.38,3.2029,0.1329,2.937,1.0,1.983,3.759,True
solvent_class,glycol_ether,pair,full,10,ML,43,4.3,3.2029,0.1093,2.9843,1.0,2.07,3.884,True
solvent_class,glycol_ether,pair,full,10,Be,43,4.3,3.2029,0.1418,2.9192,1.0,2.029,3.872,True
solvent_class,glycol_ether,pair,full,12,ML,43,3.58,3.2029,0.0995,3.0039,1.0,2.117,3.934,True
solvent_class,glycol_ether,pair,full,12,Be,43,3.58,3.2029,0.1393,2.9242,1.0,2.1,3.882,True
solvent_class,glycol_ether,pair,full,16,ML,43,2.69,3.2029,0.0493,3.1042,1.0,2.194,3.962,True
solvent_class,glycol_ether,pair,full,16,Be,43,2.69,3.2029,0.0756,3.0516,1.0,2.106,3.947,True
solvent_class,glycol_ether,pair,full,20,ML,43,2.15,3.2029,0.0552,3.0925,1.0,2.158,3.946,True
solvent_class,glycol_ether,pair,full,20,Be,43,2.15,3.2029,0.0991,3.0047,1.0,2.146,3.94,True
solvent_class,glycol_ether,pair,full,24,ML,43,1.79,3.2029,,,,,,False
solvent_class,glycol_ether,pair,full,24,Be,43,1.79,3.2029,,,,,,False
solvent_class,glycol_ether,pair,full,32,ML,43,1.34,3.2029,,,,,,False
solvent_class,glycol_ether,pair,full,32,Be,43,1.34,3.2029,,,,,,False
solvent_class,glycol_ether,pair,full,40,ML,43,1.07,3.2029,,,,,,False
solvent_class,glycol_ether,pair,full,40,Be,43,1.07,3.2029,,,,,,False
solvent_class,glycol_ether,pair,full,48,ML,43,0.9,3.2029,,,,,,False
solvent_class,glycol_ether,pair,full,48,Be,43,0.9,3.2029,,,,,,False
solvent_class,glycol_ether,pair,res,3,ML,43,14.33,2.9081,0.6945,1.5191,0.997,1.107,2.823,True
solvent_class,glycol_ether,pair,res,3,Be,43,14.33,2.9081,0.7467,1.4148,0.997,1.009,2.792,True
solvent_class,glycol_ether,pair,res,4,ML,43,10.75,2.9081,0.4753,1.9575,0.999,1.501,3.035,True
solvent_class,glycol_ether,pair,res,4,Be,43,10.75,2.9081,0.5231,1.8619,1.0,1.423,3.004,True
solvent_class,glycol_ether,pair,res,5,ML,43,8.6,2.9081,0.3478,2.2125,1.0,1.682,3.16,True
solvent_class,glycol_ether,pair,res,5,Be,43,8.6,2.9081,0.392,2.1242,1.0,1.561,3.106,True
solvent_class,glycol_ether,pair,res,6,ML,43,7.17,2.9081,0.2145,2.479,1.0,1.757,3.214,True
solvent_class,glycol_ether,pair,res,6,Be,43,7.17,2.9081,0.2487,2.4106,0.999,1.743,3.197,True
solvent_class,glycol_ether,pair,res,7,ML,43,6.14,2.9081,0.1114,2.6853,1.0,1.854,3.254,True
solvent_class,glycol_ether,pair,res,7,Be,43,6.14,2.9081,0.1319,2.6443,1.0,1.8,3.251,True
solvent_class,glycol_ether,pair,res,8,ML,43,5.38,2.9081,0.118,2.6722,1.0,1.918,3.304,True
solvent_class,glycol_ether,pair,res,8,Be,43,5.38,2.9081,0.1438,2.6204,1.0,1.822,3.3,True
solvent_class,glycol_ether,pair,res,10,ML,43,4.3,2.9081,0.104,2.7,1.0,1.98,3.4,True
solvent_class,glycol_ether,pair,res,10,Be,43,4.3,2.9081,0.1349,2.6384,1.0,1.918,3.343,True
solvent_class,glycol_ether,pair,res,12,ML,43,3.58,2.9081,0.0955,2.717,1.0,1.985,3.438,True
solvent_class,glycol_ether,pair,res,12,Be,43,3.58,2.9081,0.1344,2.6393,1.0,1.917,3.383,True
solvent_class,glycol_ether,pair,res,16,ML,43,2.69,2.9081,0.0404,2.8273,1.0,2.047,3.458,True
solvent_class,glycol_ether,pair,res,16,Be,43,2.69,2.9081,0.0612,2.7857,1.0,1.993,3.452,True
solvent_class,glycol_ether,pair,res,20,ML,43,2.15,2.9081,0.0447,2.8187,1.0,2.03,3.477,True
solvent_class,glycol_ether,pair,res,20,Be,43,2.15,2.9081,0.0842,2.7396,1.0,2.067,3.479,True
solvent_class,glycol_ether,pair,res,24,ML,43,1.79,2.9081,,,,,,False
solvent_class,glycol_ether,pair,res,24,Be,43,1.79,2.9081,,,,,,False
solvent_class,glycol_ether,pair,res,32,ML,43,1.34,2.9081,,,,,,False
solvent_class,glycol_ether,pair,res,32,Be,43,1.34,2.9081,,,,,,False
solvent_class,glycol_ether,pair,res,40,ML,43,1.07,2.9081,,,,,,False
solvent_class,glycol_ether,pair,res,40,Be,43,1.07,2.9081,,,,,,False
solvent_class,glycol_ether,pair,res,48,ML,43,0.9,2.9081,,,,,,False
solvent_class,glycol_ether,pair,res,48,Be,43,0.9,2.9081,,,,,,False
solute_family,alkane,row,full,3,ML,129,43.0,2.4913,0.8285,0.8342,0.957,0.053,2.13,True
