sample_id,ln_x2_final,T,T_m,dH_fus,tau_12,tau_21,alpha,eta,denominator,d_lnx2_dTm,d_lnx2_ddH,d_lnx2_dtau12,d_lnx2_dtau21,d_lnx2_dalpha,d_lnx2_dTm_abs,d_lnx2_ddH_abs,d_lnx2_dtau12_abs,d_lnx2_dtau21_abs,d_lnx2_dalpha_abs,abs_error
1636,-6.572438,313.2,688.817,22352.023,1.2129822,0.81183904,0.21002677,-4.275337186589782,0.9940214369148995,-0.005700374007610185,-0.00021067541532866953,-1.0014682558719563,-0.7023463359078426,0.5617907399986116,0.005700374007610185,0.00021067541532866953,1.0014682558719563,0.7023463359078426,0.5617907399986116,0.7520458161549008
1637,-7.051264,278.15,685.0527,18619.598,1.4282354,1.0451335,0.2032743,-5.178243793494123,0.9955140188157482,-0.004793634697798281,-0.00025800618949307604,-1.0015077635834342,-0.6390303171199927,0.8894685509901589,0.004793634697798281,0.00025800618949307604,1.0015077635834342,0.6390303171199927,0.8894685509901589,2.2215741257218697
1638,-6.874366,283.15,685.0527,18619.598,1.4111123,1.0189035,0.20328009,-5.098135021480582,0.9947287682190259,-0.0047974188494456236,-0.0002505334258688325,-1.0017405252612754,-0.6471562670867018,0.8510642705003554,0.0047974188494456236,0.0002505334258688325,1.0017405252612754,0.6471562670867018,0.8510642705003554,2.3349833611295017
1639,-6.703283,288.15,685.0527,18619.598,1.394582,0.99358624,0.20328578,-5.020394654771322,0.9938405910326469,-0.004801706215059413,-0.00024334066824911586,-1.001997390044171,-0.6551267492425895,0.8147621063938232,0.004801706215059413,0.00024334066824911586,1.001997390044171,0.6551267492425895,0.8147621063938232,2.4259765091958867
1640,-6.537713,293.15,685.0527,18619.598,1.3786155,0.96913356,0.20329154,-4.944885101313837,0.9928408159966808,-0.0048065414574532716,-0.00023641483863421272,-1.0022793034827209,-0.6629541391599606,0.7804419317262794,0.0048065414574532716,0.00023641483863421272,1.0022793034827209,0.6629541391599606,0.7804419317262794,2.5074694140267084
1641,-6.37737,298.15,685.0527,18619.598,1.3631824,0.94550234,0.20329721,-4.871466509576587,0.991720518860885,-0.004811971167261085,-0.00022974371811440176,-1.0025870868932347,-0.6706504267845116,0.7479957470545235,0.004811971167261085,0.00022974371811440176,1.0025870868932347,0.6706504267845116,0.7479957470545235,2.5179393253672897
1642,-6.2219896,303.15,685.0527,18619.598,1.3482597,0.92265254,0.20330293,-4.8000265876251875,0.9904705487377725,-0.004818043856852936,-0.00022331586989173463,-1.0029214300365348,-0.678226810166322,0.7173239431226576,0.004818043856852936,0.00022331586989173463,1.0029214300365348,0.678226810166322,0.7173239431226576,2.543852274070798
1643,-6.0713167,308.15,685.0527,18619.598,1.3338186,0.9005458,0.20330855,-4.730433482452548,0.9890815346729375,-0.004824810064134698,-0.0002171205747626967,-1.0032828621532761,-0.6856948956323637,0.6883333191626675,0.004824810064134698,0.0002171205747626967,1.0032828621532761,0.6856948956323637,0.6883333191626675,2.550997906485154
1644,-5.9251213,313.15,685.0527,18619.598,1.3198392,0.8791467,0.20331421,-4.66258762903499,0.9875439735474779,-0.004832322074324676,-0.00021114775572336463,-1.003671743011309,-0.6930654255365896,0.6609382859467606,0.004832322074324676,0.00021114775572336463,1.003671743011309,0.6930654255365896,0.6609382859467606,2.561797578138973
1645,-5.783178,318.15,685.0527,18619.598,1.3062985,0.85842204,0.20331985,-4.596379651030058,0.985848137509188,-0.0048406345370767675,-0.0002053879486386951,-1.004088263567652,-0.7003491665144383,0.6350598664684712,0.0048406345370767675,0.0002053879486386951,1.004088263567652,0.7003491665144383,0.6350598664684712,2.563301527428831
