pair_id,solute_key,solvent_key,solute_name,solvent_name,T_K,m,n_records,g_full,g_res,g_2002_full_UD,g_2002_res_UD,g_2010_dsp_off_full_UD,g_2010_dsp_off_res_UD,method,source_doi,journal,in_broad_idac_set
35,CO,CCCCCCN,methanol,1-hexanamine,298.15,-0.9675840262617056,1,-3.2278166,-2.8679962,-3.2249240600015057,-2.865103801170561,-1.5298413430389035,-1.1700210842079597,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
36,CO,CCCCN,methanol,1-butanamine,298.15,-1.0498221244986778,1,-2.9974842,-2.7933424,-2.9956456777085574,-2.791504126226613,-1.586020901397315,-1.38187934991537,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
37,CO,CCCNCCC,methanol,dipropylamine,298.15,-0.371063681390832,1,-2.3326044,-1.9671131,-2.33203933044384,-1.966547784036722,-0.6270639735352073,-0.2615724271280901,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
38,CO,CCNCC,methanol,diethylamine,298.15,-0.6733445532637656,1,-2.3540065,-2.145322,-2.3490878398215354,-2.1404033924709367,-0.6850522333974542,-0.4763677860468558,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
39,CO,Cc1cccc(C)n1,methanol,"2,6-dimethylpyridine",298.15,-0.4942963218147801,1,-0.7780535,-0.48970625,-0.7792552196088307,-0.4909081447641555,0.7145849850401155,1.0029320598847908,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
40,CO,Cc1ccccn1,methanol,2-methylpyridine,298.15,-0.2357223335210698,1,-1.0717295,-0.8601537,-1.068963939852523,-0.8573881665700385,0.5748037484630988,0.786379521745583,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
41,CO,Cc1cccnc1,methanol,3-methylpyridine,298.15,-0.0618754037180875,1,-1.0637339,-0.8538982,-1.0619925534788972,-0.8521565212712509,0.5719761221744366,0.7818121543820823,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
42,CO,Cc1ccncc1,methanol,4-methylpyridine,298.15,-0.3856624808119846,1,-1.1147029,-0.9020446,-1.1133638244216562,-0.9007057381951991,0.5362800960981273,0.7489381823245843,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
43,CO,NC1CCCCC1,methanol,cyclohexylamine,298.15,-1.1086626245216111,1,-3.209142,-2.9817524,-3.2073801203133123,-2.979990580153876,-1.5068087667297958,-1.2794192265703592,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
44,Cc1ccc(C)cc1,c1ccncc1,"1,4-dimethylbenzene",pyridine,298.15,0.4446858212614457,1,0.38893226,0.445505,0.3893264112045688,0.4458992955838514,0.3977656733235686,0.4543385577028497,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
45,Cc1cccc(C)c1,c1ccncc1,"1,3-dimethylbenzene",pyridine,298.15,0.4317824164255378,1,0.37456998,0.4302354,0.3741574151512532,0.4298226156290982,0.3838083817216542,0.4394735821994981,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
46,Cc1cccc(C)n1,CO,"2,6-dimethylpyridine",methanol,298.15,-0.0618754037180875,1,0.13826776,0.64445305,0.1539426874912278,0.6601275422790248,0.9727476561073428,1.4789325108951397,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
47,Cc1ccccc1,OCCO,toluene,"1,2-ethanediol",298.0,4.532599493153256,1,2.614268,2.6737874,2.620002670235674,2.6795225341730027,2.9883950299666298,3.047914893903959,Chromatography,10.1016/j.fluid.2013.06.028,Fluid Phase Equilib.,True
48,Cc1ccccc1C,c1ccncc1,"1,2-dimethylbenzene",pyridine,298.15,0.3435897043900768,1,0.32588995,0.36914423,0.3262066853339936,0.3694613975154492,0.3361552861018483,0.3794099982833026,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
49,Cc1ccccn1,CO,2-methylpyridine,methanol,298.15,-0.2876820724517809,1,-0.21361536,0.12400299,-0.1976435573814119,0.1399750003459459,0.7466872351266298,1.084305792853988,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
50,Cc1cccnc1,CO,3-methylpyridine,methanol,298.15,-0.1984509387238383,1,-0.36034238,-0.027333736,-0.3415410010497299,-0.0085325728410352,0.7068479464162452,1.0398563746249398,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
51,Cc1cccnc1,c1ccccc1,3-methylpyridine,benzene,298.15,-0.0408219945202551,1,-0.014476173,-0.0075269868,-0.0144227045940574,-0.0074733761665329,-0.0166967513964857,-0.0097474229689615,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
52,Cc1ccncc1,CO,4-methylpyridine,methanol,298.15,0.0,1,-0.41438434,-0.075458914,-0.395334351903505,-0.0564087903224737,0.684804066942338,1.0237296285233657,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
53,Clc1ccccc1,OCCO,chlorobenzene,"1,2-ethanediol",298.0,3.688879454113936,1,2.294168,2.3521826,2.29817212516683,2.3561867025772187,2.620664765084826,2.6786793424952133,Chromatography,10.1016/j.fluid.2013.06.028,Fluid Phase Equilib.,True
54,Fc1ccccc1,OCCO,fluorobenzene,"1,2-ethanediol",298.0,3.4657359027997265,1,2.033733,2.0636067,2.0360102998034093,2.0658841635098764,2.3284759630702507,2.3583498267767187,Chromatography,10.1016/j.fluid.2013.06.028,Fluid Phase Equilib.,True
55,Ic1ccccc1,OCCO,iodobenzene,"1,2-ethanediol",298.0,3.737669618283368,1,2.4515097,2.5395813,2.455112069048191,2.5431840732939617,2.790362980661824,2.878434984907598,Chromatography,10.1016/j.fluid.2013.06.028,Fluid Phase Equilib.,False
56,NC1CCCCC1,CO,cyclohexylamine,methanol,298.15,1.5706970841176695,1,-2.1672482,-1.8135078,-2.1351270847544557,-1.7813870699312755,-0.3935122685500223,-0.0397722537268416,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
57,NC1CCCCC1,c1ccccc1,cyclohexylamine,benzene,298.15,1.860974538249528,1,0.45489323,0.45723495,0.4548264428901775,0.4571677934546618,0.529807638782671,0.5321489893471559,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
58,c1ccc2ccccc2c1,OCCO,naphthalene,"1,2-ethanediol",298.0,5.472270673671475,1,2.7117102,2.845021,3.0221887941158174,3.1560179941875717,3.452844024633038,3.5866732247047906,Chromatography,10.1016/j.fluid.2013.06.028,Fluid Phase Equilib.,True
59,c1ccccc1,OCCO,benzene,"1,2-ethanediol",298.0,3.4657359027997265,1,2.1075256,2.123638,2.1100713547120025,2.126184282341815,2.430801140238386,2.446914067868199,Chromatography,10.1016/j.fluid.2013.06.028,Fluid Phase Equilib.,True
60,c1ccncc1,CO,pyridine,methanol,298.15,0.1823215567939546,1,-0.28169072,-0.085931,-0.2668682256141357,-0.0711082430603381,0.651188666079887,0.8469486486336855,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
